PRECINCT_OF_OCCUR,INCOME,SUMMONS TOTAL ,borough
1.0,57565.0,588, Manhattan
5.0,64076.0,503, Manhattan
6.0,84978.0,407, Manhattan
7.0,49685.0,306, Manhattan
9.0,56743.0,287, Manhattan
10.0,61873.0,348, Manhattan
13.0,77371.0,577, Manhattan
14.0,34057.0,2706, Manhattan
17.0,117596.0,665, Manhattan
18.0,46419.0,1256, Manhattan
19.0,130527.0,225, Manhattan
20.0,113828.0,52, Manhattan
22.0,0.0,37, Manhattan
23.0,41341.0,1009, Manhattan
24.0,113828.0,261, Manhattan
25.0,41341.0,686, Manhattan
26.0,53592.0,223, Manhattan
28.0,45230.0,955, Manhattan
30.0,53592.0,270, Manhattan
32.0,45230.0,824, Manhattan
33.0,54717.0,722, Manhattan
34.0,54717.0,932, Manhattan
40.0,19205.0,3613, Bronx
41.0,10966.0,1197, Bronx
42.0,14750.0,1300, Bronx
43.0,39322.0,1037, Bronx
44.0,41636.0,1248, Bronx
45.0,57007.0,344, Bronx
46.0,34897.0,914, Bronx
47.0,61528.0,1550, Bronx
48.0,15398.0,612, Bronx
49.0,57394.0,343, Bronx
50.0,62243.0,194, Bronx
52.0,37648.0,2576, Bronx
60.0,41541.0,1017, Brooklyn
61.0,64106.0,366, Brooklyn
62.0,55977.0,584, Brooklyn
63.0,76340.0,294, Brooklyn
66.0,57754.0,265, Brooklyn
67.0,60811.0,3018, Brooklyn
68.0,73633.0,563, Brooklyn
69.0,76340.0,1595, Brooklyn
70.0,66097.0,2738, Brooklyn
71.0,62958.0,1496, Brooklyn
72.0,58841.0,1667, Brooklyn
73.0,38285.0,4040, Brooklyn
75.0,52670.0,2483, Brooklyn
76.0,144733.0,743, Brooklyn
77.0,73103.0,390, Brooklyn
78.0,144733.0,243, Brooklyn
79.0,68618.0,1127, Brooklyn
81.0,68618.0,1897, Brooklyn
83.0,70582.0,699, Brooklyn
84.0,120556.0,566, Brooklyn
88.0,120556.0,435, Brooklyn
90.0,101442.0,1304, Brooklyn
94.0,101442.0,124, Brooklyn
100.0,51643.0,309, Brooklyn
101.0,51643.0,247, Queens
102.0,75207.0,988, Queens
103.0,68682.0,1214, Queens
104.0,69726.0,325, Queens
105.0,97288.0,545, Queens
106.0,82604.0,373, Queens
107.0,74493.0,333, Queens
108.0,80708.0,374, Queens
109.0,60896.0,370, Queens
110.0,63453.0,3132, Queens
111.0,86731.0,46, Queens
112.0,88971.0,41, Queens
113.0,68682.0,735, Queens
114.0,73539.0,1459, Queens
115.0,65860.0,2473, Queens
120.0,72727.0,892, Staten Island
121.0,81111.0,286, Staten Island
122.0,89946.0,207, Staten Island
123.0,103200.0,74, Staten Island
